sharpness,handle,vendor
4141.3,raphael-mazzucco-vietnam-water-wheel-2015,Raphael Mazzucco
2778.3,raphael-mazzucco-new-mexico-2015,Raphael Mazzucco
2180.8,tunney-grattitude-2021-2,Peter Tunney
1903.2,raphael-mazzucco-ballerina-ronnie-wood-studio-2014,Raphael Mazzucco
1884.9,subject-and-object-2015,Liu Shuishi
1815.4,mazzucco-louisiana-2018,Raphael Mazzucco
1601.0,mazzucco-ballerina-bruton-street-rm_p006,Raphael Mazzucco
1585.2,ole-aakjaer-universal-soldier-2018,Ole Aakjær
1480.4,mazzucco-standing-still-rm_234,Raphael Mazzucco
1434.2,shuishi-searching-2022,Liu Shuishi
1406.9,texas-oglalas-et-hunkpapas,Kinki Texas
1339.8,raphael-mazzucco-agave-2015,Raphael Mazzucco
1320.8,color-of-sunshine-2022,Liu Shuishi
1308.7,mazzucco-africa-kenya-2015,Raphael Mazzucco
1258.0,ole-aakjaer-invitation-to-an-unpredictable-party-2019,Ole Aakjær
1178.4,tunney-grattitude-2021,Peter Tunney
1165.0,raphael-mazzucco-vietnam-eyes-2015,Raphael Mazzucco
1133.4,slough-2011,Liu Shuishi
1053.1,texas-sunday-smile,Kinki Texas
1052.8,mazzucco-galapagos-rm_2171,Raphael Mazzucco
1025.3,tunney-wish-you-were-here-2021,Peter Tunney
964.3,hambleton-jumping-shadowman-rh231001145,Richard Hambleton
960.7,ole-aakjaer-queen-on-a-throne-2019,Ole Aakjær
959.5,texas-babylon-babelsberg,Kinki Texas
953.3,texas-proto-retiarius,Kinki Texas
943.0,texas-back-to-nature,Kinki Texas
937.1,risk-peaceful-warrior-risk055,Risk
875.8,the-greatest-save-pele-banks,Pelé
863.8,connor-brothers-those-who-say-it-cannot-be-done-orange-2023,The Connor Brothers
862.3,bath-2009,Liu Shuishi
845.2,risk-peaceful-buddha-blue-48-risk056,Risk
843.5,texas-untitled-8,Kinki Texas
835.7,ole-aakjaer-strong-woman-eating-a-man-2018,Ole Aakjær
764.7,connor-brothers-i-tried-to-drown-my-sorrows-red-2023,The Connor Brothers
764.5,connor-brothers-why-fit-in-when-you-were-born-to-stand-out-lilac-2023,The Connor Brothers
760.6,ole-aakjaer-never-alone-on-the-dance-floor-2018,Ole Aakjær
756.3,connor-brothers-why-fit-in-when-you-were-born-to-stand-out-green-2023,The Connor Brothers
742.9,connor-brothers-those-who-say-it-cannot-be-done-dark-green-2023,The Connor Brothers
719.2,texas-chicken-rider,Kinki Texas
713.5,mazzucco-market,Raphael Mazzucco
683.3,texas-marat-garden,Kinki Texas
681.5,connor-brothers-tell-him-i-was-too-fucking-busy-dark-blue-2023,The Connor Brothers
674.1,connor-brothers-why-fit-in-when-you-were-born-to-stand-out-blue-2023,The Connor Brothers
667.9,ole-aakjaer-different-perspective-2018,Ole Aakjær
662.6,mazzucco-waterfall,Raphael Mazzucco
654.6,texas-3-punch-hodgens,Kinki Texas
647.3,ole-aakjaer-the-crowd-is-cruel-2018,Ole Aakjær
644.1,connor-brothers-i-tried-to-drown-my-sorrows-2022,The Connor Brothers
638.8,mazzucco-music-rm_102018_017,Raphael Mazzucco
635.2,texas-northway-greedy,Kinki Texas
629.0,shuishi-untitled,Liu Shuishi
626.7,connor-brothers-i-tried-to-drown-my-sorrows-green-2023,The Connor Brothers
626.5,untitled-figure-2023,Liu Shuishi
618.9,connor-brothers-tell-him-i-was-too-fucking-busy-green-2023,The Connor Brothers
617.9,mazzucco-vietnam-2018,Raphael Mazzucco
603.6,connor-brothers-impossible-is-nothing-red-2023,The Connor Brothers
600.9,stevie-wonder-whitney-houston-1986,Ron Galella
597.3,connor-brothers-impossible-is-nothing-grey-2023,The Connor Brothers
592.2,la-ii-nay-s-love-2011,Angel Ortiz (LA II / LA2)
588.7,mazzucco-negatives-from-silent-rm_7007,Raphael Mazzucco
578.2,connor-brothers-why-fit-in-when-you-were-born-to-stand-out-grey-2022,The Connor Brothers
551.4,connor-brothers-impossible-is-nothing-orange-2023,The Connor Brothers
550.7,mazzucco-vietnam-typewriter-rm_102018_004,Raphael Mazzucco
537.5,simply-symbols,Liu Shuishi
529.5,tunney-cowboys-dreamers-2024,Peter Tunney
519.7,tunney-grattitude-2024,Peter Tunney
514.8,tunney-beyond-the-beyond-2022,Peter Tunney
504.9,shuishi-here-2022,Liu Shuishi
493.5,shuishi-untitled-2022,Liu Shuishi
492.5,connor-brothers-i-dont-want-to-go-to-heaven-blue-2023,The Connor Brothers
480.8,connor-brothers-i-dont-want-to-go-to-heaven-teal-2023,The Connor Brothers
467.3,connor-brothers-normal-is-the-cruelest-of-all-insults-dark-red-2023,The Connor Brothers
467.1,texas-helios-minor,Kinki Texas
466.9,the-connor-brothers-a-load-of-fuss-2020,The Connor Brothers
459.3,texas-namenloser-lohengrin,Kinki Texas
458.4,connor-brothers-call-me-anything-but-ordinary-2020,The Connor Brothers
455.8,tunney-fear-less-2023,Peter Tunney
451.0,connor-brothers-every-saint-has-a-past-dark-blue-2023,The Connor Brothers
449.2,tunney-the-time-is-always-now-2025,Peter Tunney
443.1,tunney-a-matter-of-time-2024,Peter Tunney
438.7,connor-brothers-i-dont-care-what-anybody-says-about-me-as-long-as-it-isnt-tr,The Connor Brothers
437.3,connor-brothers-every-saint-has-a-past-green-2023,The Connor Brothers
435.9,connor-brothers-those-who-say-it-cannot-be-done-should-not-interrupt-those-o,The Connor Brothers
427.3,tunney-grattitude-2022-2,Peter Tunney
416.0,goal-1,Pelé
415.7,tunney-im-busy-for-the-rest-of-my-life-2024,Peter Tunney
412.7,the-connor-brothers-the-boundaries-of-our-reality-are-set-by-the-limits-of-our-imagination-2020,The Connor Brothers
410.8,texas-translator-imperii,Kinki Texas
409.1,tunney-the-time-is-always-now-2024,Peter Tunney
403.7,the-connor-brothers-christ-now-what-2018,The Connor Brothers
403.0,sylve-greed-star-2023,Logan Sylve
398.8,texas-the-texan,Kinki Texas
398.6,yes-or-not-2023,Liu Shuishi
396.5,connor-brothers-i-tried-to-drown-my-sorrows-but-the-bastards-learned-how-to,The Connor Brothers
390.6,sylve-untitled-2023,Logan Sylve
389.7,pele-ali-2,Pelé
378.3,the-bicycle-kick,Pelé
